timestamp,component_id,cpu_pct,mem_pct
2026-07-14T21:33:13.161052+00:00,web-01,0.14,0.18
2026-07-14T21:33:13.161052+00:00,lb-01,0.15,0.17
2026-07-14T21:33:13.161052+00:00,app-01,0.36,0.21
2026-07-14T21:33:13.161052+00:00,db-01,0.51,8.48
2026-07-14T21:33:17.235115+00:00,web-01,0.17,0.18
2026-07-14T21:33:17.235115+00:00,lb-01,0.17,0.17
2026-07-14T21:33:17.235115+00:00,app-01,0.39,0.21
2026-07-14T21:33:17.235115+00:00,db-01,0.82,8.48
2026-07-14T21:33:20.688920+00:00,web-01,0.16,0.17
2026-07-14T21:33:20.688920+00:00,lb-01,0.17,0.17
2026-07-14T21:33:20.688920+00:00,app-01,0.01,0.21
2026-07-14T21:33:20.688920+00:00,db-01,0.37,8.48
2026-07-14T21:33:24.758786+00:00,web-01,0.17,0.17
2026-07-14T21:33:24.758786+00:00,lb-01,0.17,0.17
2026-07-14T21:33:24.758786+00:00,app-01,0.01,0.21
2026-07-14T21:33:24.758786+00:00,db-01,0.53,8.48
2026-07-14T21:33:28.828216+00:00,web-01,0.12,0.17
2026-07-14T21:33:28.828216+00:00,lb-01,0.17,0.17
2026-07-14T21:33:28.828216+00:00,app-01,0.01,0.21
2026-07-14T21:33:28.828216+00:00,db-01,0.41,8.48
2026-07-14T21:33:32.881448+00:00,web-01,0.15,0.17
2026-07-14T21:33:32.881448+00:00,lb-01,0.21,0.17
2026-07-14T21:33:32.881448+00:00,app-01,0.03,0.21
2026-07-14T21:33:32.881448+00:00,db-01,0.62,8.47
2026-07-14T21:33:36.949161+00:00,web-01,0.11,0.17
2026-07-14T21:33:36.949161+00:00,lb-01,0.15,0.17
2026-07-14T21:33:36.949161+00:00,app-01,0.01,0.21
2026-07-14T21:33:36.949161+00:00,db-01,0.26,8.47
2026-07-14T21:33:40.631349+00:00,web-01,0.15,0.17
2026-07-14T21:33:40.631349+00:00,lb-01,0.21,0.17
2026-07-14T21:33:40.631349+00:00,app-01,0.01,0.21
2026-07-14T21:33:40.631349+00:00,db-01,0.84,8.47
2026-07-14T21:33:44.775686+00:00,web-01,0.11,0.17
2026-07-14T21:33:44.775686+00:00,lb-01,0.17,0.17
2026-07-14T21:33:44.775686+00:00,app-01,0.02,0.21
2026-07-14T21:33:44.775686+00:00,db-01,0.88,8.47
2026-07-14T21:33:48.842582+00:00,web-01,0.1,0.17
2026-07-14T21:33:48.842582+00:00,lb-01,0.13,0.17
2026-07-14T21:33:48.842582+00:00,app-01,0.02,0.21
2026-07-14T21:33:48.842582+00:00,db-01,1.39,8.45
2026-07-14T21:33:52.904041+00:00,web-01,0.11,0.17
2026-07-14T21:33:52.904041+00:00,lb-01,0.17,0.17
2026-07-14T21:33:52.904041+00:00,app-01,0.01,0.21
2026-07-14T21:33:52.904041+00:00,db-01,0.68,8.45
2026-07-14T21:33:56.976938+00:00,web-01,0.1,0.17
2026-07-14T21:33:56.976938+00:00,lb-01,0.16,0.17
2026-07-14T21:33:56.976938+00:00,app-01,0.01,0.21
2026-07-14T21:33:56.976938+00:00,db-01,0.28,8.45
2026-07-14T21:34:00.725640+00:00,web-01,0.13,0.17
2026-07-14T21:34:00.725640+00:00,lb-01,0.12,0.18
2026-07-14T21:34:00.725640+00:00,app-01,0.02,0.21
2026-07-14T21:34:00.725640+00:00,db-01,0.77,8.45
