timestamp,component_id,cpu_pct,mem_pct
2026-07-14T21:47:34.740646+00:00,app-01,0.37,0.21
2026-07-14T21:47:34.740646+00:00,web-01,0.12,0.18
2026-07-14T21:47:34.740646+00:00,lb-01,0.12,0.18
2026-07-14T21:47:34.740646+00:00,db-01,0.6,8.48
2026-07-14T21:47:38.812238+00:00,app-01,0.36,0.21
2026-07-14T21:47:38.812238+00:00,web-01,0.15,0.17
2026-07-14T21:47:38.812238+00:00,lb-01,0.15,0.18
2026-07-14T21:47:38.812238+00:00,db-01,0.58,8.48
2026-07-14T21:47:42.837030+00:00,app-01,0.35,0.21
2026-07-14T21:47:42.837030+00:00,web-01,0.15,0.17
2026-07-14T21:47:42.837030+00:00,lb-01,0.19,0.18
2026-07-14T21:47:42.837030+00:00,db-01,0.6,8.48
2026-07-14T21:47:46.898403+00:00,app-01,0.32,0.21
2026-07-14T21:47:46.898403+00:00,web-01,0.14,0.17
2026-07-14T21:47:46.898403+00:00,lb-01,0.15,0.18
2026-07-14T21:47:46.898403+00:00,db-01,0.73,8.48
2026-07-14T21:47:50.973167+00:00,app-01,0.35,0.21
2026-07-14T21:47:50.973167+00:00,web-01,0.15,0.17
2026-07-14T21:47:50.973167+00:00,lb-01,0.16,0.18
2026-07-14T21:47:50.973167+00:00,db-01,0.87,8.48
2026-07-14T21:47:55.036101+00:00,app-01,0.36,0.21
2026-07-14T21:47:55.036101+00:00,web-01,0.14,0.17
2026-07-14T21:47:55.036101+00:00,lb-01,0.16,0.18
2026-07-14T21:47:55.036101+00:00,db-01,0.61,8.48
2026-07-14T21:47:59.099611+00:00,app-01,0.38,0.21
2026-07-14T21:47:59.099611+00:00,web-01,0.16,0.17
2026-07-14T21:47:59.099611+00:00,lb-01,0.15,0.18
2026-07-14T21:47:59.099611+00:00,db-01,0.77,8.48
2026-07-14T21:48:03.129064+00:00,app-01,0.37,0.21
2026-07-14T21:48:03.129064+00:00,web-01,0.14,0.17
2026-07-14T21:48:03.129064+00:00,lb-01,0.18,0.18
2026-07-14T21:48:03.129064+00:00,db-01,0.8,8.48
2026-07-14T21:48:07.198029+00:00,app-01,0.36,0.21
2026-07-14T21:48:07.198029+00:00,web-01,0.13,0.17
2026-07-14T21:48:07.198029+00:00,lb-01,0.17,0.18
2026-07-14T21:48:07.198029+00:00,db-01,0.9,8.48
